Index,Confidence,X/Y/W/H,Frame Count
b'car',0.9808089733123779,"(241.31594848632812, 153.005859375, 36.69454574584961, 39.306007385253906)",5
b'car',0.9760552644729614,"(112.48712921142578, 144.43507385253906, 19.554363250732422, 17.346023559570312)",5
b'car',0.9558562636375427,"(194.07110595703125, 141.73583984375, 13.334216117858887, 14.986116409301758)",5
b'car',0.8921602964401245,"(173.5056915283203, 140.19825744628906, 9.155195236206055, 8.148263931274414)",5
b'car',0.9952003359794617,"(226.532470703125, 153.17042541503906, 32.57234191894531, 33.766944885253906)",10
b'car',0.9758660197257996,"(92.18268585205078, 146.76454162597656, 24.241769790649414, 22.553821563720703)",10
b'car',0.9662786722183228,"(190.73504638671875, 145.26194763183594, 11.874907493591309, 15.356433868408203)",10
b'car',0.94753098487854,"(54.11763000488281, 148.55838012695312, 29.76297950744629, 22.414892196655273)",10
b'car',0.8871047496795654,"(172.53506469726562, 141.35601806640625, 8.763140678405762, 8.049920082092285)",10
b'car',0.9953019618988037,"(225.49952697753906, 153.24095153808594, 32.01400375366211, 33.5106201171875)",15
b'car',0.9797278046607971,"(49.40315628051758, 150.13023376464844, 29.50700569152832, 23.089319229125977)",15
b'car',0.9644002318382263,"(87.50463104248047, 147.4144287109375, 24.084020614624023, 23.247699737548828)",15
b'car',0.9591200947761536,"(190.95494079589844, 145.60865783691406, 11.842632293701172, 13.978775978088379)",15
b'car',0.8362017273902893,"(172.71600341796875, 141.30514526367188, 8.912928581237793, 8.641777992248535)",15
b'car',0.9923576712608337,"(224.80577087402344, 154.51107788085938, 30.65386962890625, 32.64554214477539)",20
b'car',0.9724581837654114,"(81.33379364013672, 150.01953125, 26.916282653808594, 24.519750595092773)",20
b'car',0.9685810208320618,"(42.604278564453125, 153.65029907226562, 31.990724563598633, 24.13982582092285)",20
b'car',0.8498188257217407,"(192.65724182128906, 146.07777404785156, 12.694189071655273, 13.947280883789062)",20
b'car',0.7948843240737915,"(405.1758117675781, 218.79974365234375, 22.497758865356445, 115.27072143554688)",20
b'car',0.7351557612419128,"(174.18959045410156, 142.36553955078125, 9.756736755371094, 9.745256423950195)",20
b'car',0.9924027919769287,"(224.54110717773438, 153.5337677001953, 30.599998474121094, 31.685991287231445)",25
b'car',0.9857791066169739,"(393.2279052734375, 199.83326721191406, 42.47043991088867, 151.80520629882812)",25
b'car',0.9641414284706116,"(193.4888458251953, 145.583984375, 12.170394897460938, 14.773366928100586)",25
b'car',0.9618515968322754,"(73.46232604980469, 150.4540252685547, 30.050090789794922, 27.52621841430664)",25
b'car',0.8294987082481384,"(33.20466613769531, 156.7099151611328, 28.54370880126953, 21.534931182861328)",25
b'car',0.9893728494644165,"(224.4486083984375, 150.82098388671875, 28.05908203125, 31.436126708984375)",30
b'car',0.9788955450057983,"(195.1027374267578, 142.2739715576172, 11.503028869628906, 13.039127349853516)",30
b'car',0.9772759079933167,"(381.9908142089844, 185.29225158691406, 70.59104919433594, 168.1293487548828)",30
