Index,Confidence,X/Y/W/H,Frame Count
b'car',0.9273748993873596,"(175.04771423339844, 210.853515625, 36.99058151245117, 54.557151794433594)",5
b'car',0.8923400640487671,"(258.7088928222656, 203.47164916992188, 28.65865135192871, 34.27384948730469)",5
b'car',0.8166065812110901,"(99.62976837158203, 209.6156463623047, 14.53519058227539, 15.607242584228516)",5
b'car',0.7968511581420898,"(66.13003540039062, 206.47366333007812, 12.49822998046875, 12.06944751739502)",5
b'car',0.7855755686759949,"(352.85528564453125, 196.113037109375, 25.984020233154297, 22.453731536865234)",5
b'car',0.9301829934120178,"(177.28985595703125, 213.915771484375, 37.29290008544922, 57.16389846801758)",10
b'car',0.809510350227356,"(97.46597290039062, 213.06024169921875, 15.807089805603027, 20.158937454223633)",10
b'car',0.7858209609985352,"(259.1622009277344, 206.87548828125, 30.46170425415039, 39.2790412902832)",10
b'car',0.961525559425354,"(176.85108947753906, 225.1756134033203, 34.6880989074707, 53.12845230102539)",15
b'car',0.9487850069999695,"(93.01475524902344, 222.89288330078125, 18.863338470458984, 18.761215209960938)",15
b'car',0.8432226181030273,"(264.37860107421875, 212.3563232421875, 31.037723541259766, 39.82524108886719)",15
b'car',0.7193015813827515,"(195.70956420898438, 211.58078002929688, 15.527750015258789, 29.041027069091797)",15
b'car',0.9502686858177185,"(176.94337463378906, 225.22445678710938, 32.52121353149414, 52.289390563964844)",20
b'car',0.9098939895629883,"(86.61613464355469, 221.1303253173828, 19.6357479095459, 24.489665985107422)",20
b'car',0.9048066139221191,"(197.9813995361328, 214.22193908691406, 17.456083297729492, 21.692079544067383)",20
b'car',0.8737397193908691,"(263.09466552734375, 214.5489959716797, 30.069255828857422, 36.68069839477539)",20
b'car',0.964203417301178,"(200.81552124023438, 213.31410217285156, 17.458921432495117, 20.765043258666992)",25
b'car',0.8636792302131653,"(270.3299560546875, 209.0233154296875, 33.81778335571289, 37.977203369140625)",25
b'car',0.7686948776245117,"(175.14312744140625, 217.380615234375, 35.292823791503906, 55.178035736083984)",25
b'car',0.9846200346946716,"(203.95849609375, 214.3391571044922, 19.805322647094727, 22.054044723510742)",30
b'car',0.9184008240699768,"(276.9483642578125, 210.14414978027344, 30.93075180053711, 39.514244079589844)",30
b'car',0.7298280000686646,"(179.64817810058594, 224.8753204345703, 30.703535079956055, 51.175872802734375)",30
b'car',0.9859286546707153,"(209.30810546875, 214.46929931640625, 17.6896915435791, 22.361433029174805)",35
b'car',0.8859543204307556,"(281.5596618652344, 209.77801513671875, 33.2257080078125, 37.90574264526367)",35
b'car',0.7558193206787109,"(59.89012908935547, 230.17379760742188, 18.645118713378906, 38.603759765625)",35
b'car',0.9890628457069397,"(215.33685302734375, 211.0098114013672, 18.46225357055664, 24.491641998291016)",40
b'car',0.8645085096359253,"(182.75437927246094, 214.23422241210938, 34.86376190185547, 55.32667922973633)",40
b'car',0.9645719528198242,"(220.73263549804688, 210.8982696533203, 19.566862106323242, 25.432540893554688)",45
b'car',0.8982762694358826,"(185.11451721191406, 212.81712341308594, 38.22128677368164, 56.63853073120117)",45
b'car',0.9850350618362427,"(225.38719177246094, 213.8254852294922, 21.39165496826172, 25.80487060546875)",50
b'car',0.8429074883460999,"(300.29510498046875, 209.4330291748047, 33.915687561035156, 39.3088264465332)",50
b'car',0.7996387481689453,"(188.43492126464844, 216.01158142089844, 35.67267990112305, 57.33253860473633)",50
b'car',0.7353562116622925,"(269.15899658203125, 210.53839111328125, 16.274444580078125, 21.903120040893555)",50
b'car',0.9260587692260742,"(230.33616638183594, 214.2269744873047, 19.366281509399414, 26.726741790771484)",55
b'car',0.9062042832374573,"(305.832275390625, 209.53907775878906, 31.932634353637695, 41.21687698364258)",55
b'bus',0.8675947189331055,"(194.98175048828125, 217.77536010742188, 37.12445831298828, 61.48271179199219)",60
b'car',0.9206996560096741,"(313.2689208984375, 215.18557739257812, 45.13954544067383, 43.976531982421875)",65
b'car',0.7269043922424316,"(316.1861267089844, 214.52099609375, 47.51396942138672, 46.80153274536133)",70
b'car',0.9356321096420288,"(238.46644592285156, 221.49415588378906, 20.775575637817383, 29.585529327392578)",75
b'car',0.812011182308197,"(316.9524230957031, 215.90052795410156, 53.81534194946289, 52.044639587402344)",75
b'car',0.9001303315162659,"(238.98660278320312, 222.03201293945312, 22.458770751953125, 30.8791446685791)",80
b'car',0.8540152311325073,"(240.7122039794922, 221.86434936523438, 22.140045166015625, 29.844879150390625)",85
b'car',0.7141948342323303,"(243.3347930908203, 223.09132385253906, 20.23765754699707, 29.51071548461914)",95
b'car',0.9195531010627747,"(244.907958984375, 225.66342163085938, 21.9588680267334, 31.465208053588867)",100
b'car',0.7938907146453857,"(194.34849548339844, 218.66433715820312, 42.112674713134766, 61.697540283203125)",100
b'car',0.8489818572998047,"(247.06729125976562, 225.22142028808594, 22.092641830444336, 33.03386306762695)",105
b'car',0.7433075308799744,"(196.4420928955078, 219.264404296875, 45.6898078918457, 64.62286376953125)",115
b'car',0.8166245818138123,"(196.73670959472656, 218.61636352539062, 46.009342193603516, 63.96648025512695)",120
b'truck',0.7275790572166443,"(197.24224853515625, 200.8539581298828, 54.651424407958984, 110.19567108154297)",125
b'car',0.7772550582885742,"(196.44717407226562, 226.69607543945312, 51.99589920043945, 82.21136474609375)",130
b'car',0.8484293222427368,"(196.98231506347656, 221.19662475585938, 54.24850845336914, 81.30180358886719)",135
b'car',0.7391367554664612,"(197.0238037109375, 220.506103515625, 58.631683349609375, 86.67594146728516)",140
b'car',0.8660014271736145,"(197.1204071044922, 218.78172302246094, 61.79010772705078, 103.61766815185547)",145
b'truck',0.8235114812850952,"(196.9097442626953, 228.18765258789062, 67.53147888183594, 120.9276351928711)",150
b'car',0.9736495018005371,"(198.0087127685547, 232.6747589111328, 75.52234649658203, 111.87782287597656)",155
b'car',0.8682445287704468,"(198.08421325683594, 218.40284729003906, 79.25115203857422, 122.96235656738281)",160
b'train',0.8532640337944031,"(200.48536682128906, 219.03028869628906, 97.7380142211914, 146.07659912109375)",165
b'truck',0.82657390832901,"(195.71128845214844, 213.90704345703125, 153.28932189941406, 210.78948974609375)",175
