Index,Confidence,X/Y/W/H,Frame Count
b'car',0.9963529706001282,"(74.20848083496094, 180.40467834472656, 93.92137908935547, 94.88941192626953)",5
b'car',0.9927889108657837,"(134.55215454101562, 167.60870361328125, 36.34532165527344, 46.4432373046875)",5
b'car',0.9912272691726685,"(358.1934814453125, 184.86761474609375, 45.574947357177734, 38.23311996459961)",5
b'car',0.977434515953064,"(205.92617797851562, 165.2103271484375, 24.827274322509766, 31.031906127929688)",5
b'car',0.9536312222480774,"(274.254638671875, 163.10256958007812, 13.302474975585938, 12.9086275100708)",5
b'car',0.9456809163093567,"(165.9970703125, 157.81959533691406, 20.052074432373047, 24.36124610900879)",5
b'car',0.9415144324302673,"(17.536802291870117, 201.60496520996094, 34.62792205810547, 162.05447387695312)",5
b'car',0.9183734655380249,"(179.239501953125, 155.68055725097656, 11.131168365478516, 17.251129150390625)",5
b'car',0.7437837719917297,"(291.4940185546875, 163.6302490234375, 17.676359176635742, 26.29642677307129)",5
b'car',0.9963635802268982,"(88.54141235351562, 177.6386260986328, 71.23582458496094, 87.34461212158203)",10
b'car',0.9928957223892212,"(139.92266845703125, 165.2457275390625, 30.26040267944336, 44.67798614501953)",10
b'car',0.9925445318222046,"(353.35064697265625, 181.13441467285156, 41.78152084350586, 32.50404739379883)",10
b'car',0.9838276505470276,"(30.184364318847656, 196.1494903564453, 56.800445556640625, 139.4209442138672)",10
b'car',0.9804871678352356,"(167.2996826171875, 157.3147430419922, 17.75150489807129, 21.142824172973633)",10
b'car',0.9803404211997986,"(205.77317810058594, 164.92483520507812, 24.86922836303711, 31.776506423950195)",10
b'car',0.9254152774810791,"(253.5274200439453, 158.5640869140625, 11.5026216506958, 15.374170303344727)",10
b'car',0.9253758788108826,"(179.89822387695312, 155.08387756347656, 9.911429405212402, 16.706026077270508)",10
b'car',0.9166537523269653,"(385.7752990722656, 206.08013916015625, 56.83330535888672, 66.15469360351562)",10
b'car',0.8085761070251465,"(271.1004943847656, 161.3382568359375, 12.846511840820312, 10.80372142791748)",10
b'car',0.995730459690094,"(363.04693603515625, 197.86070251464844, 65.45819854736328, 62.45688247680664)",15
b'car',0.9914230704307556,"(36.827613830566406, 188.7366943359375, 86.00032806396484, 141.01730346679688)",15
b'car',0.9909813404083252,"(103.01746368408203, 172.20440673828125, 63.748165130615234, 76.87164306640625)",15
b'car',0.9876385927200317,"(205.1566925048828, 164.68228149414062, 24.094417572021484, 29.50785255432129)",15
b'car',0.9684050679206848,"(142.88514709472656, 162.1992950439453, 25.16228675842285, 43.085262298583984)",15
b'car',0.9485346674919128,"(341.1939392089844, 177.44589233398438, 30.01099395751953, 29.659345626831055)",15
b'car',0.947408139705658,"(169.30165100097656, 156.57594299316406, 16.408329010009766, 18.78240394592285)",15
b'car',0.9412654638290405,"(250.31268310546875, 158.08151245117188, 10.372374534606934, 15.14381217956543)",15
b'car',0.886989951133728,"(180.09963989257812, 154.76348876953125, 8.996452331542969, 15.443840026855469)",15
b'car',0.879164457321167,"(269.5276184082031, 160.7014617919922, 10.209037780761719, 11.260568618774414)",15
b'car',0.7951715588569641,"(286.2560119628906, 161.71832275390625, 14.902402877807617, 22.40199851989746)",15
b'car',0.9973264932632446,"(337.32513427734375, 186.00474548339844, 50.79071044921875, 50.04450225830078)",20
b'car',0.9832640290260315,"(204.48941040039062, 164.59011840820312, 25.373701095581055, 29.859207153320312)",20
b'car',0.9826759099960327,"(113.99795532226562, 168.94459533691406, 52.2998046875, 72.96356964111328)",20
b'car',0.9679389595985413,"(45.89190673828125, 195.57406616210938, 96.21168518066406, 140.91082763671875)",20
b'car',0.9402176141738892,"(147.4342803955078, 162.20321655273438, 23.327653884887695, 40.90616989135742)",20
b'car',0.9267368316650391,"(169.55519104003906, 156.2741241455078, 15.629107475280762, 19.175857543945312)",20
b'car',0.8610726594924927,"(181.46261596679688, 155.245361328125, 9.395869255065918, 14.112826347351074)",20
b'car',0.8002116680145264,"(268.5404052734375, 159.0953826904297, 10.043468475341797, 11.707036972045898)",20
b'car',0.9864627718925476,"(121.16800689697266, 167.8063507080078, 42.983177185058594, 70.0087661743164)",25
b'car',0.9844805598258972,"(341.6021423339844, 173.8092498779297, 22.27831268310547, 26.18238639831543)",25
b'car',0.9804078936576843,"(54.051029205322266, 194.15603637695312, 104.2557373046875, 127.15792083740234)",25
b'car',0.9752118587493896,"(204.3579864501953, 163.55731201171875, 25.857860565185547, 29.91556167602539)",25
b'car',0.944363534450531,"(245.45919799804688, 155.39332580566406, 9.468371391296387, 11.158503532409668)",25
b'car',0.9123457074165344,"(267.9676208496094, 158.87962341308594, 11.035371780395508, 13.086987495422363)",25
b'car',0.9059513211250305,"(314.5150451660156, 178.3754119873047, 44.10258102416992, 40.034637451171875)",25
b'car',0.8852915167808533,"(170.23971557617188, 156.70606994628906, 12.980003356933594, 18.416433334350586)",25
b'car',0.8546877503395081,"(181.77960205078125, 153.74462890625, 9.782590866088867, 15.511003494262695)",25
b'car',0.849391758441925,"(150.2012481689453, 161.5100555419922, 21.520095825195312, 38.249961853027344)",25
b'car',0.9966849684715271,"(331.8602600097656, 175.06434631347656, 32.48936080932617, 30.18391990661621)",30
b'car',0.9928911328315735,"(126.61273193359375, 166.16415405273438, 40.73777389526367, 68.80364990234375)",30
b'car',0.9908756613731384,"(204.39100646972656, 165.6819610595703, 26.76882553100586, 31.002256393432617)",30
b'car',0.9897791147232056,"(66.54295349121094, 183.32943725585938, 99.3407974243164, 105.69642639160156)",30
b'car',0.9884193539619446,"(300.7370910644531, 174.715087890625, 35.85444641113281, 36.73891067504883)",30
b'car',0.9745926856994629,"(154.1794891357422, 161.8829803466797, 21.540027618408203, 34.176658630371094)",30
