Index,Confidence,X/Y/W/H,Frame Count
b'car',0.9584916830062866,"(164.5088653564453, 226.12503051757812, 8.154105186462402, 10.443132400512695)",5
b'car',0.947521448135376,"(190.6154327392578, 224.87686157226562, 7.653484344482422, 8.605026245117188)",5
b'car',0.8708201050758362,"(215.1776123046875, 331.20379638671875, 405.6617736816406, 146.845947265625)",5
b'car',0.8655509948730469,"(179.38877868652344, 222.83859252929688, 4.659817695617676, 5.350540637969971)",5
b'car',0.8644136190414429,"(206.87472534179688, 233.5923614501953, 24.71451187133789, 33.652870178222656)",5
b'car',0.9686233401298523,"(166.38414001464844, 226.1514892578125, 8.798552513122559, 10.035419464111328)",10
b'car',0.936447024345398,"(190.53318786621094, 224.97088623046875, 7.163315296173096, 8.464902877807617)",10
b'car',0.9162907004356384,"(215.44961547851562, 329.5744934082031, 411.96429443359375, 155.6735076904297)",10
b'car',0.7943263649940491,"(180.21292114257812, 222.9038543701172, 4.5797576904296875, 4.990931987762451)",10
b'car',0.780749499797821,"(206.89540100097656, 233.72097778320312, 25.18914222717285, 35.43034744262695)",10
b'car',0.9438621997833252,"(215.62539672851562, 329.20074462890625, 417.55645751953125, 159.100830078125)",15
b'car',0.910327672958374,"(168.64801025390625, 225.95260620117188, 6.334981441497803, 8.42854118347168)",15
b'car',0.9034456610679626,"(190.89337158203125, 224.78964233398438, 7.035342693328857, 8.432945251464844)",15
b'car',0.8892837762832642,"(206.98965454101562, 234.31805419921875, 25.900466918945312, 35.43403625488281)",15
b'car',0.8228752017021179,"(181.14434814453125, 222.64483642578125, 4.498202800750732, 4.765822887420654)",15
b'car',0.9752837419509888,"(169.64447021484375, 225.62033081054688, 6.824653148651123, 8.882299423217773)",20
b'car',0.9465470314025879,"(216.12551879882812, 330.63958740234375, 417.87542724609375, 156.08441162109375)",20
b'car',0.8285256624221802,"(206.87969970703125, 234.079833984375, 25.751300811767578, 36.688541412353516)",20
b'car',0.7835777997970581,"(190.477783203125, 224.56167602539062, 6.265958309173584, 6.963366508483887)",20
b'car',0.9720553755760193,"(171.55819702148438, 224.89199829101562, 7.463253021240234, 8.39869499206543)",25
b'car',0.9033054113388062,"(214.295654296875, 333.1925354003906, 408.6985778808594, 146.7012481689453)",25
b'car',0.8489814400672913,"(206.91062927246094, 232.3450927734375, 27.37677764892578, 40.38129425048828)",25
b'car',0.8066060543060303,"(189.1439666748047, 222.6267547607422, 6.03845739364624, 5.6150102615356445)",25
b'car',0.761031448841095,"(182.04844665527344, 222.0587921142578, 4.024441719055176, 4.427192211151123)",25
b'car',0.9545754790306091,"(213.4712371826172, 333.3778076171875, 415.6817321777344, 154.57398986816406)",30
b'car',0.8814783096313477,"(172.6663818359375, 224.91717529296875, 7.094801425933838, 7.868330001831055)",30
b'car',0.806543231010437,"(182.2801055908203, 221.80104064941406, 4.107727527618408, 4.92976188659668)",30
b'car',0.7525723576545715,"(206.8125, 231.66567993164062, 26.620328903198242, 41.731201171875)",30
b'car',0.9569829702377319,"(214.85360717773438, 333.4755859375, 415.48455810546875, 149.52345275878906)",35
b'car',0.946527898311615,"(206.09239196777344, 235.3927459716797, 26.675548553466797, 32.76118469238281)",35
b'car',0.899619460105896,"(173.51773071289062, 224.8355255126953, 6.616308212280273, 7.045558452606201)",35
b'car',0.8991058468818665,"(18.26434898376465, 247.6612548828125, 37.300926208496094, 55.865882873535156)",35
b'car',0.7109391689300537,"(190.7379150390625, 224.43417358398438, 5.4607672691345215, 7.576028347015381)",35
b'car',0.7074233889579773,"(22.652690887451172, 214.78726196289062, 17.545665740966797, 9.710878372192383)",35
b'car',0.9551961421966553,"(214.5084228515625, 332.6990661621094, 414.87310791015625, 151.5827178955078)",40
b'car',0.8600150346755981,"(205.96502685546875, 235.23655700683594, 28.008943557739258, 33.513153076171875)",40
b'car',0.8567588925361633,"(38.50838851928711, 247.73538208007812, 61.47123718261719, 48.94059753417969)",40
b'car',0.8112359046936035,"(174.47525024414062, 224.73326110839844, 6.545932292938232, 6.371110439300537)",40
b'car',0.7843871116638184,"(14.07859992980957, 213.94931030273438, 17.89699363708496, 10.564563751220703)",40
b'car',0.7383156418800354,"(188.09896850585938, 222.8862762451172, 5.333654880523682, 5.081678867340088)",40
b'car',0.962968111038208,"(66.61769104003906, 242.46067810058594, 45.275360107421875, 38.979312896728516)",45
b'car',0.9480558633804321,"(216.36517333984375, 331.994384765625, 412.3074035644531, 147.78672790527344)",45
b'car',0.8454132676124573,"(206.87506103515625, 236.52520751953125, 30.432262420654297, 39.91425323486328)",45
b'car',0.829255998134613,"(6.438590049743652, 212.97474670410156, 11.184161186218262, 9.63489818572998)",45
b'car',0.9610522389411926,"(215.2379913330078, 332.9522399902344, 408.8460998535156, 146.7826385498047)",50
b'car',0.9492505192756653,"(87.21287536621094, 238.77403259277344, 35.89421463012695, 35.295745849609375)",50
b'car',0.9060561656951904,"(206.84744262695312, 236.29336547851562, 31.745180130004883, 40.05201721191406)",50
b'car',0.7111818194389343,"(188.04718017578125, 222.70697021484375, 4.842833518981934, 5.234435081481934)",50
b'car',0.9521264433860779,"(214.7869873046875, 332.7341003417969, 421.4035339355469, 155.9990997314453)",55
b'car',0.9258633255958557,"(206.76124572753906, 237.13809204101562, 32.695152282714844, 39.22620391845703)",55
b'car',0.8950582146644592,"(104.70877838134766, 236.28213500976562, 30.91521453857422, 29.504085540771484)",55
b'car',0.9602499008178711,"(117.37019348144531, 234.810791015625, 24.74919891357422, 24.097490310668945)",60
b'car',0.9356416463851929,"(206.20285034179688, 240.7949981689453, 36.60333251953125, 38.42268753051758)",60
b'car',0.9269832372665405,"(215.17593383789062, 334.4878234863281, 420.5075378417969, 153.52108764648438)",60
b'car',0.7742826342582703,"(188.07650756835938, 222.45046997070312, 4.779509544372559, 5.08267879486084)",60
