Index,Confidence,X/Y/W/H,Frame Count
b'car',0.7442981600761414,"(291.0682678222656, 190.02304077148438, 29.93283462524414, 29.582914352416992)",40
b'car',0.934033215045929,"(205.5611572265625, 201.39468383789062, 22.602577209472656, 29.768470764160156)",45
b'car',0.8989145159721375,"(226.80934143066406, 193.37301635742188, 7.394737243652344, 9.7569580078125)",45
b'car',0.9095715880393982,"(204.77822875976562, 201.2975616455078, 21.473140716552734, 29.003206253051758)",50
b'car',0.813564121723175,"(226.28591918945312, 193.0698699951172, 7.378552436828613, 8.83945083618164)",50
b'car',0.9276173710823059,"(204.41355895996094, 200.86270141601562, 21.38837242126465, 26.22905731201172)",55
b'car',0.8964914679527283,"(203.71533203125, 200.74234008789062, 21.289464950561523, 29.32571029663086)",60
b'car',0.9488181471824646,"(203.7034454345703, 201.06201171875, 21.979785919189453, 28.431533813476562)",65
b'car',0.9141595363616943,"(203.7623748779297, 202.69754028320312, 22.457216262817383, 29.688793182373047)",70
b'car',0.8965216279029846,"(203.4822540283203, 204.5245819091797, 21.33420181274414, 29.817581176757812)",75
b'traffic light',0.8818041682243347,"(116.27313232421875, 43.03709411621094, 7.864570140838623, 21.828344345092773)",75
b'car',0.7237696647644043,"(220.78189086914062, 196.20333862304688, 8.882250785827637, 8.238731384277344)",75
b'car',0.9318561553955078,"(202.02407836914062, 204.47740173339844, 23.297977447509766, 30.702774047851562)",80
b'traffic light',0.705788254737854,"(126.20919799804688, 35.49495315551758, 12.710616111755371, 27.07614517211914)",80
b'car',0.9212221503257751,"(201.0588836669922, 208.77529907226562, 23.11786651611328, 30.054054260253906)",85
b'car',0.8001032471656799,"(46.303409576416016, 232.79391479492188, 87.0311279296875, 84.95797729492188)",85
b'car',0.978251039981842,"(59.459983825683594, 235.1628875732422, 90.26840209960938, 84.83927154541016)",90
b'car',0.9413601160049438,"(201.5608673095703, 211.6827850341797, 24.253787994384766, 31.750343322753906)",90
b'car',0.971163272857666,"(75.7364730834961, 238.02639770507812, 86.29644012451172, 82.23982238769531)",95
b'car',0.9138108491897583,"(202.76016235351562, 211.3074951171875, 24.409399032592773, 32.659420013427734)",95
b'car',0.9659368395805359,"(203.47434997558594, 203.70944213867188, 26.26144027709961, 32.99500274658203)",100
b'car',0.9215322136878967,"(90.10305786132812, 220.5336151123047, 75.90518188476562, 72.00624084472656)",100
b'car',0.7357138395309448,"(9.210062026977539, 213.4953155517578, 16.372848510742188, 34.05605697631836)",100
