Index,Confidence,X/Y/W/H,Frame Count
b'car',0.9419673085212708,"(184.71884155273438, 280.62115478515625, 26.676218032836914, 31.02463150024414)",5
b'car',0.934002697467804,"(232.19207763671875, 275.68023681640625, 18.457897186279297, 26.74712371826172)",5
b'car',0.9482675194740295,"(188.0040283203125, 278.493408203125, 25.970918655395508, 33.07954406738281)",10
b'car',0.9388391971588135,"(232.271728515625, 276.6827392578125, 18.5805606842041, 27.74485206604004)",10
b'car',0.966322124004364,"(189.8420867919922, 276.87493896484375, 24.309961318969727, 31.456029891967773)",15
b'car',0.8696883320808411,"(232.32469177246094, 277.654296875, 20.779285430908203, 29.873437881469727)",15
b'car',0.9160589575767517,"(189.66293334960938, 276.10369873046875, 22.122159957885742, 28.670785903930664)",20
b'car',0.8791428804397583,"(230.9738006591797, 280.7189636230469, 24.10163116455078, 30.90932273864746)",20
b'car',0.7576922178268433,"(397.5483093261719, 256.91943359375, 37.5117301940918, 28.13222885131836)",20
b'car',0.9372618198394775,"(190.78306579589844, 275.6502685546875, 21.999040603637695, 27.7138614654541)",25
b'car',0.8135063648223877,"(371.4731750488281, 258.5687255859375, 36.41343688964844, 25.945775985717773)",25
b'car',0.7438540458679199,"(231.8450164794922, 280.6253662109375, 26.244911193847656, 43.79121398925781)",25
b'car',0.9494617581367493,"(193.3585662841797, 274.9027099609375, 22.116329193115234, 27.107059478759766)",30
b'car',0.8062232136726379,"(232.28033447265625, 283.3384094238281, 32.499053955078125, 46.38859176635742)",30
b'car',0.9617695808410645,"(194.30062866210938, 274.3875427246094, 21.201921463012695, 24.9829158782959)",35
b'car',0.9553835391998291,"(232.72897338867188, 289.2951354980469, 41.48585510253906, 55.72793960571289)",35
b'car',0.7926337718963623,"(329.6375427246094, 262.33843994140625, 25.574872970581055, 18.51894187927246)",35
b'car',0.9710822105407715,"(234.0347442626953, 293.6910095214844, 51.64801025390625, 67.9051513671875)",40
b'car',0.9237792491912842,"(195.58303833007812, 273.8340759277344, 20.153301239013672, 24.015321731567383)",40
b'car',0.8689867854118347,"(316.4770812988281, 262.76617431640625, 23.565977096557617, 17.210948944091797)",40
b'car',0.9947112202644348,"(233.20480346679688, 305.093505859375, 66.8350830078125, 93.32177734375)",45
b'car',0.8901907205581665,"(195.75254821777344, 273.4378356933594, 16.86654281616211, 23.522233963012695)",45
b'car',0.9927904605865479,"(234.9281005859375, 312.2904052734375, 90.7352294921875, 107.21147155761719)",50
b'car',0.8982911109924316,"(299.0365905761719, 262.2852478027344, 14.506043434143066, 12.617666244506836)",50
b'car',0.7195450067520142,"(195.42544555664062, 273.5611267089844, 13.340087890625, 23.69335174560547)",50
b'car',0.9686628580093384,"(234.7908477783203, 314.7073669433594, 126.21992492675781, 119.9294204711914)",55
b'car',0.7572987675666809,"(291.97381591796875, 263.1763610839844, 14.244267463684082, 12.356690406799316)",55
b'car',0.9520497918128967,"(229.54873657226562, 316.2062683105469, 196.59153747558594, 150.11973571777344)",60
b'car',0.974521279335022,"(217.6646728515625, 316.6700744628906, 224.43190002441406, 153.69102478027344)",65
b'car',0.9604742527008057,"(227.34788513183594, 315.9873962402344, 203.81988525390625, 140.0642852783203)",70
