Index,Confidence,X/Y/W/H,Frame Count
b'car',0.9415350556373596,"(203.2251434326172, 202.09547424316406, 22.548988342285156, 31.80660629272461)",5
b'car',0.8884064555168152,"(203.32679748535156, 202.4075927734375, 22.290468215942383, 32.303802490234375)",10
b'car',0.769892156124115,"(230.07992553710938, 196.2175750732422, 10.283839225769043, 14.50948715209961)",10
b'car',0.8838785886764526,"(203.85421752929688, 201.6404266357422, 21.956119537353516, 32.331050872802734)",15
b'car',0.8838164806365967,"(203.9331817626953, 201.70372009277344, 21.993417739868164, 29.138168334960938)",20
b'car',0.8470937609672546,"(229.815673828125, 194.98365783691406, 8.9755859375, 12.398681640625)",20
b'car',0.8513796925544739,"(204.37542724609375, 202.07562255859375, 21.337116241455078, 31.556400299072266)",25
b'car',0.8380974531173706,"(229.3109130859375, 195.967041015625, 8.100099563598633, 10.579971313476562)",25
b'car',0.8257297873497009,"(205.2460174560547, 201.80348205566406, 22.00029182434082, 30.723310470581055)",30
b'car',0.7896546721458435,"(228.3665008544922, 196.2737579345703, 7.869345664978027, 12.28941535949707)",30
b'car',0.8480616211891174,"(205.78878784179688, 201.8408203125, 22.245121002197266, 31.48986053466797)",35
b'car',0.8182207345962524,"(228.7536163330078, 195.3206329345703, 7.891138553619385, 11.924337387084961)",35
b'car',0.8891249895095825,"(205.7955322265625, 202.296630859375, 22.81066131591797, 31.4595890045166)",40
b'car',0.8226457238197327,"(228.87594604492188, 195.73812866210938, 8.687211990356445, 10.920905113220215)",40
b'traffic light',0.735100507736206,"(36.24658966064453, 30.319496154785156, 10.669225692749023, 28.18259048461914)",40
b'car',0.8146731853485107,"(228.66871643066406, 195.0978546142578, 9.396368026733398, 11.172062873840332)",45
b'car',0.7765368819236755,"(206.73025512695312, 201.5176544189453, 22.543550491333008, 31.766544342041016)",45
b'truck',0.7405754923820496,"(206.7404022216797, 199.27215576171875, 21.73699188232422, 32.41225814819336)",45
b'car',0.9113234877586365,"(206.70037841796875, 201.19937133789062, 22.17115020751953, 30.371244430541992)",50
b'car',0.877237856388092,"(227.8914031982422, 194.1396942138672, 8.666948318481445, 11.864416122436523)",50
b'car',0.8621127605438232,"(397.4621887207031, 200.6293182373047, 38.02970886230469, 79.76448822021484)",50
b'car',0.771160900592804,"(383.3465576171875, 195.84974670410156, 60.43156433105469, 69.73634338378906)",55
b'car',0.7505977153778076,"(206.59507751464844, 200.78118896484375, 20.83267593383789, 25.7670955657959)",55
b'truck',0.7460504174232483,"(207.03497314453125, 198.77847290039062, 23.357494354248047, 30.74797248840332)",55
b'car',0.7000738382339478,"(220.48275756835938, 193.0465545654297, 5.318851947784424, 6.555258274078369)",55
b'car',0.9721561670303345,"(361.9320983886719, 196.9512481689453, 60.95652389526367, 58.72173309326172)",60
b'car',0.9473921656608582,"(206.9020233154297, 201.1156768798828, 23.525657653808594, 29.90557861328125)",60
b'car',0.8978032469749451,"(227.46319580078125, 194.44882202148438, 7.846263408660889, 11.097271919250488)",60
b'car',0.9449057579040527,"(344.6709289550781, 196.65025329589844, 52.95671844482422, 49.60666275024414)",65
