Index,Confidence,X/Y/W/H,Frame Count
b'car',0.9281641244888306,"(232.22122192382812, 276.0609130859375, 18.13983726501465, 25.479883193969727)",5
b'car',0.9258635640144348,"(184.81423950195312, 280.638916015625, 26.419584274291992, 30.56817626953125)",5
b'car',0.9542574882507324,"(187.98831176757812, 278.6205139160156, 26.275964736938477, 32.52178955078125)",10
b'car',0.9401541948318481,"(232.26019287109375, 277.0980529785156, 18.647979736328125, 27.03571319580078)",10
b'car',0.9435421228408813,"(189.71035766601562, 277.0600891113281, 24.841100692749023, 30.54222869873047)",15
b'car',0.8572295904159546,"(232.34420776367188, 277.58819580078125, 20.127649307250977, 29.89883041381836)",15
b'car',0.9516371488571167,"(190.66192626953125, 276.55853271484375, 23.92945098876953, 28.84245491027832)",20
b'car',0.7901721596717834,"(398.0506591796875, 257.0775146484375, 37.10908508300781, 28.701488494873047)",20
b'car',0.7731161713600159,"(230.7878875732422, 280.6105651855469, 23.21800422668457, 31.16402244567871)",20
b'car',0.9279356002807617,"(190.90866088867188, 275.6557922363281, 21.715965270996094, 27.202880859375)",25
b'car',0.7466842532157898,"(231.67056274414062, 280.5072326660156, 26.646076202392578, 43.72934341430664)",25
b'car',0.914743185043335,"(193.6604766845703, 275.0731506347656, 21.75774574279785, 26.710956573486328)",30
b'car',0.7021577954292297,"(232.327880859375, 283.9413146972656, 33.3324089050293, 44.981014251708984)",30
b'car',0.914811909198761,"(232.6515655517578, 289.251708984375, 40.763851165771484, 55.60243225097656)",35
b'car',0.8919287323951721,"(194.83013916015625, 274.285888671875, 20.736101150512695, 25.21475601196289)",35
b'car',0.7737981081008911,"(330.1292724609375, 262.3238220214844, 26.121816635131836, 19.356475830078125)",35
b'car',0.9630493521690369,"(233.658447265625, 292.836669921875, 51.700836181640625, 68.58976745605469)",40
b'car',0.9314307570457458,"(196.01988220214844, 273.82135009765625, 20.020328521728516, 23.66722869873047)",40
b'car',0.7833211421966553,"(316.80291748046875, 262.6903076171875, 23.329547882080078, 17.42469596862793)",40
b'car',0.987675130367279,"(232.5181884765625, 304.898681640625, 66.61724853515625, 92.02393341064453)",45
b'car',0.9269827604293823,"(195.96261596679688, 273.5628356933594, 16.371381759643555, 22.886585235595703)",45
b'car',0.9827504754066467,"(234.68959045410156, 314.1469421386719, 88.50086975097656, 108.4670639038086)",50
b'car',0.8449663519859314,"(298.7684020996094, 262.5811767578125, 14.564828872680664, 13.345184326171875)",50
b'car',0.7316430807113647,"(195.74510192871094, 273.6954650878906, 13.438056945800781, 23.790878295898438)",50
b'car',0.965326189994812,"(235.16741943359375, 315.2505798339844, 123.33484649658203, 124.99161529541016)",55
b'car',0.9173663854598999,"(231.84783935546875, 324.0243225097656, 211.34100341796875, 150.45948791503906)",60
b'car',0.9657943844795227,"(231.2437744140625, 323.5058288574219, 215.9875030517578, 158.43019104003906)",65
b'car',0.9553477764129639,"(227.26271057128906, 316.9590148925781, 197.11888122558594, 144.4268341064453)",70
